Title,Directions,Quantity,Ingredient,Unit01,Quantity02,Unit02,Quantity03,Unit03,Quantity04,Unit04,Quantity05,Unit05,Quantity06,Unit06,Quantity07,Unit07,Quantity08,Unit08,Quantity09,Unit09,Quantity10,Unit10,Quantity11,Unit11,Quantity12,Unit12,Quantity13,Unit13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Quantity16,Unit16,Quantity17,Unit17,Quantity18,Unit18,Quantity19,Unit19,Category
Tortilla Soup,"Cut 3 thin slices from the lime; set aside.  Squeeze 1 tsp juice from remaining lime; set aside.  In 2-qt. saucepan over medium heat, in 1 tbsp hot oil, cook onion, cumin, oregano, and garlic until onion is tender.  Add broth, water, tomato, chiles, and reserved lime juice.  Heat to boiling.  Reduce heat to low and cook for 10 minutes.  Meanwhile, cut tortillas into thin strips.  In a 10-inch skillet heat 1/2 inch oil to 375 degree.  Fry tortilla strips, a few at a time until crisp.  Remove to paper towel to drain.  Place several tortilla strips in 3 bowls.  Ladle soup into bowls; sprinkle with cheese.  Top with reserved lime slices and lettuce.  Serve immediately.",1,"lime,vegetable oil,onion, chopped,ground cumin,diced oregano leaves, crushed,garlic, minced,Campbell's condensed chicken broth,water,tomato, chopped,chopped green chiles,corn tortillas,monterey jack or cheddar cheese, shredded,lettuce, shredded",,,,02-Jan,cup,02-Jan,tsp,08-Jan,tsp,1,clove,1,can,1,soup can,02-Jan,cup,1,4 oz. can,3,,,,1,cup,,,,,,,,,,,,,,Soup
Chicken and Shrimp Cantonese,"Cut chicken into 1-inch cubes. Heat all over medium-high heat in wok or large skillet. Add chicekn and garlic ; saute 1 1/2 minutes, stirring. Add shrimp, green onions, pepper, celery, and zucchini. Cook and stir until shrimp turns pink, about 2 minutes, then add chicken broth. Mix cornstarch, sherry, soy sauce, and sugar in small bowl. Add to chicken-shrimp mixture and cook, stirring constantly, until it boils. Continue to boil for 1 minute. Remove from heat and serve immediately over cooked rice or Chinese noodles. Makes 4 servings.",2,"peanut or vegetable oil,b1d and skinned chicken breasts, cut into 1 inch pieces,red or green pepper, cut in thin strips,celery, sliced,chicken broth,cornstarch,sherry,soy sauce,sugar",tbsp,2,,02-Jan,cup,02-Jan,cup,13,ounces,2,tbsp,3,tbsp,1,tbsp,02-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,Main Dish
Chicken With Pineapple,"Marinate chicken in mixture of sherry, soy sauce, and cornstarch. Drain, but",1,"b1d chicken breast cut into 1-inch cubes,sherry,soy sauce,cornstarch,celery, bite size,onion,mushroom,pineapple tidbits,green pepper",,04-Jan,cup,1,tbsp,1,tbsp,1,cup,1,,1,cup,1,cup,,,,,,,,,,,,,,,,,,,,,,,,Main Dish
Chinese Beef,"Cut steak into thin strips. Quarter tomatoes, cut pepper in bug chunks. Heat oil in skillet. Add beef, crushed garlic, slat, pepper, and ginger. Fry over high heat until brown. Add soy sauce and sugar. Cover tightly. Cook slowly 5 minutes. Add tomatoes, peppers, and sprouts. Bring to a boil, cover, cook briskly 5 minutes. Make a smooth paste of cornstarch and water. Add to beef. Cook until sauce thickens slightly. Stir occasionally.",2,"flank steak,tomatoes,green peppers,olive oil,garlic,salt,pepper,ground ginger,soy sauce,sugar,bean sprouts,cornstarch,water",pounds,2,,2,,2,tbsp,1,clove,1,tsp,,,02-Jan,tsp,02-Jan,cup,02-Jan,tsp,1,pound,1,tbsp,02-Jan,cup,,,,,,,,,,,,,,Main Dish
Chinese Broccoli,"Steam broccoli. Mix crab or shrimp in bea10 egg white. Saute crab or shrimp with fresh mushrooms, broth, and soy sauce. Spoon over broccoli.",,"broccoli florets,crab or shrimp,bea10 egg white,fresh mushrooms,chicken broth,soy sauce",,,,,,,,04-Jan,cup,1,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Dish
Chinese Chicken Salad,"Mix soy sauce, sherry, water, orange peel, and anise. Simmer 10 minutes to make marinade. Poach chicken breasts 10 to 15 minutes over low flame. Cool in liquid. Shred. Mix together shredded chicken, onions, and lettuce. Serve over rice noodles that have been cooked in hot oil in wok.",1,"soy sauce,dry sherry,water,orange peel,anise,chicken breast, poached 15 minutes,slivered green onions,slivered lettuce",cup,02-Jan,cup,1,cup,1,,2,star,2,,4 to 6,,02-Jan,head,,,,,,,,,,,,,,,,,,,,,,,,Main Dish
Chinese Fried Rice,"Saute onion and meat in oil. Add other ingredients except egg. Cook on low heat about 15 to 20 minutes. Beat egg with a tablespoon of milk. Melt butter in skillet, pour in egg and cook until solid. Slice in thin strips to put over the rice as garnish on the platter.",02-Jan,"diced ham, pork or chicken,oil,sliced mushrooms (optional),chopped green onions,cold cooked rice,soy sauce,egg,tbsp",cup,2,tbsp,3,ounces,02-Jan,cup,1,quart,2 to 3,,1,,1,tbsp,,,,,,,,,,,,,,,,,,,,,,,,Main Dish
Chinese Pepper Steak,"Partially freeze steak and cut into thin strips. Combine cornstarch, sugar, ginger, and soy sauce. Pour over meat and stir. Cut into thin strips. Quickly brown meat in hot oil and remove. Add green pepper, onion, and garlic. Add water. Cook 5 to 6 minutes. Stir in meat, tomatoes and sherry. Serve over rice.",1,"round steak, cut 1 inch thick,cornstarch,sugar,ginger,sauce,peppers,onion,oil,garlic,water,tomatoes, halved,dry sherry",pound,1,tbsp,02-Jan,tsp,04-Jan,tsp,04-Jan,cup,2,,2,,3,tbsp,1,clove,04-Jan,can,8,,2,tbsp,,,,,,,,,,,,,,,,Main Dish
Chinese Roast Pork,"Mix sugar, salt, h1y, soy sauce, and bouillon. Cut pork lengthwise and soak in marinade for 45 minutes. Turning. Place on rack in roasting pan. Dd few tablespoons water to prevent smoking. Bake 350 degrees for 1 hour and 15 minutes. Turning occasionally.",4,"sugar,salt,h1y,soy sauce,chicken bouillon,fresh pork butt or shoulder of pork",tsp,1,tsp,4,tsp,3,tsp,3,tbsp,2,pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Dish
Chinese Stir Fried Chicken with Peanuts,"Mix sherry and cornstarch. Stir chicken to coat. Refirgerate 2 to 4 hours. Heat 2 tablespoons oil over high heat. Add ginger. Cook 15 seconds, stirring constantly. Add pepper. Stir fry 2 minutes. Add onion. Stir fry 1 minute. Tranfer to bowl. Add rest of oil. Add chicken and red pepper. Stir fry 2 minutes until chicken looses pink color and turns white. Add peanuts, cooked vegetables and soy sauce mixture (soy sauce, water, and cornstarch). Bring to rolling boil, stirring constantly until thick. Serve immediately, discard ginger. Serve with rice.",1,"dry sherry,cornstarch,b1less chicken, cut in cubes,vegetable oil,ginger root,green peppers,green onions,crushed red pepper,unsalted peanuts,soy sauce,water,cornstarch",tbsp,1,tbsp,1,pound,4,tsp,08-Jan,slice,2,,12,,04-Jan,tsp,02-Jan,cup,03-Jan,cup,02-Jan,cup,1,tbsp,,,,,,,,,,,,,,,,Main Dish
Scallops,"Brown w/ salt and pepper. Serve over glass noodles, top with chopped green onions and toasted sesame seeds.",,"salt,pepper,soy sauce,rice vinegar,garlic,sugar,green onions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Dish
Cheese Fondue,Melt cheese and combine with rest of ingredients. Bake with cumin on top and serve warm with tortilla chips.,1,"mexican blend cheese,salsa,spinach,chopped artichoke hearts,cumin,tortilla chips",package,1,cup,1,pkg,1,can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Dish
Golden Nugget Beef,"Peel oranges, remove outer membrance. Cut into 4 slices per orange, cut slices in half. Place in bowl, mix sugar and soy sauce. Pour over oranges. Let stand 15 minutes. Stir occasionally. Set aside. Combine cornstarch, ginger and pepper. Blend in boullion and water. Stir until smooth. Set aside. Cut flank diagonally into very thin slices. Heat 1 tbsp of oil in large skillet on high heat. Cook half of the meat at a time, just until it looses red color. Use second tbsp of oil with second half of meat. Remove meat from skillet, saute garlic and onion and celery just until transparent, return meat, stir. Add cornstarch mixture. Cook for 30 seconds, stirring constantly. Add oranges and marinade. Cook 10 seconds, serve over mounds of steamed rice.",3,"oranges,sugar,soy sauce,cornstarch,ginger,pepper,unsalted beef boullion,water,flank steak,vegetable oil,minced garlic,onion,celery",large,1,tsp,2,tbsp,1,tbsp,02-Jan,tsp,02-Jan,tsp,02-Jan,cup,04-Jan,cup,1,lb,2,tbsp,1,clove,1,med,1 1/3,cup,,,rice,,,,,,,,,,,Main Dish
Baby Back Ribs,"Bake 325 degrees for 2 hours. Cover with foil. Grill for 30 minute, basting with sauce every 10 minutes.",,"Ribs,barbeque sauce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Dish
Sweet and Sour Meatballs,Shape into balls. Roll in flour and brown in hot oil. Bring to boil. Pour over meat. Cook for 30 minutes.,1 1/2,"hamburger,sausage,accent,salt,chopped onion,bread crumbs,milk,cornstarch,sugar,pineapple juice,pineapple chunks,boullion,water,soy sauce,butter",lbs,02-Jan,lb,1,tsp,04-Mar,tsp,1,tbsp,02-Jan,cup,02-Jan,cup,2,tbsp,2,tbsp,1,cup,1,can,1,cube,02-Jan,cup,02-Jan,cup,vinegar,2,tbsp,1,tbsp,,,,,,,Main Dish
Saucy Shrimp Over Chinese Noodle Cakes,"Prepare Chinese noodle cakes. Combine water, 1 tablespoon cornstarch and 3 tablespoons soy sauce with ketchup; set aside. Blend remaining 1 tablespoon each cornstarch and soy sauce in small bowl; stir in shrimp until coated. Heat 1 tablespoon oil in hot wok or large skillet over high heat. Add shrimp and stir-fry 1 minute; remove. Heat reamining 1 tablespoon oil in same pan. Add garlic and ginger; stir-fry until fragrant. Add green pepper, onion and celery; stir-fry 4 minutes. Stir in soy sauce mixture, shrimp and tomatoes. Cook and stir until sauce boils and thickens. Cut Chinese noodle cakes into squares and serve with shrimp mixture.",1.25,"water,cornstarch,soy sauce,ketchup,medium-size raw shrimp, peeled and deveined,vegetable oil,minced garlic,minced ginger,green bell pepper, chunked,medum onion, chunked,celery, thinly sliced diagonally,tomatoes,chinese noodle cakes",cups,2,tbsp,4,tbsp,1,tsp,02-Jan,lb,2,tbsp,1,clove,02-Jan,tsp,1,,1,,2,stalks,2,,,,,,,,,,,,,,,,,Main Dish
Sole Thermidor,"Roll fish, cook in milk for 30 minutes at 375 degrees. Drain milk, make sauce with remaining ingredients, sprinkle with paprika. Pour over fish. Broil quickly. Serves 4-5.

Line bottom of baking dish with half of the bacon. Cover with onion. Sprinkle on bay leaf. Place trout on top. Blend flour and margerine, spread on fish. Sprinkle with crumbs. Top with bacon. Bake uncovered at 375 degrees for 35-45 minutes until golden brown and flakey.",3,"fish fillets,milk,salt,pepper,margerine,flour,lemon juice or sherry,grated cheese,chopped green onions,sliced mushrooms,paprika",lb,2 1/4,cups,1 1/2,tsp,08-Jan,tsp,02-Jan,cup,02-Jan,cup,02-Jan,cup,02-Jan,lb,4,,8,,,,,,,,,,,,,,,,,,,,,Main Dish
Bake Trout,,2,"slices bacon for each,onion, thinly sliced,bay leaf, crumbled,margerine,flour,fine cracker crumbs,salt and pepper",,1,,1,,3,tbsp,2,tbsp,02-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Dish
Cheesy Fish Fillets with Spinach,"Heat butter over low heat until melted. Stir in flour, bouillon, nutmeg, red pepper and white pepper; cook over low heat, stirring constantly, until mixture is smooth and bubbly. Stir in milk; heat to boiling and cook, stirring constantly, for 1 minute. Add cheese and cook, stirring constantly, just until cheese melts. Set aside. Place spinach in ungreased 12 in x 7.5 in baking dish or 8 in square baking dish. Sprinkle with the lemon juice. Arrange fish on spinach; sprinkle with salt. Spread sauce over fish and spinach. Bake uncovered, at 350 degrees until fish flakes easily with a fork, about 20 minutes. Sprinkle with the Parmesan cheese and paprika; return to oven for 5  minutes.",2,"butter,flour,chicken bouillon,nutmeg,red pepper,white pepper,milk,shredded Swiss or cheddar cheese,spinach, thawed and well-drained,lemon juice or sherry,fish fillets, cut in serving pieces,salt,grated parmesan cheese",tbsp,2,tbsp,1,tsp,,dash,,dash,,dash,1,cup,03-Feb,cup,1,pkg,1,tbsp,1,lb,02-Jan,tsp,2,tbsp,,,paprika,,,,,,,,,,,Breakfast
Cheese Fondue,"Serve with warm chips, baked 6-7 minutes with cumin.",1,"melted Mexican blend cheese,salsa,chopped spinach,artichoke hearts",pkg,1,cup,1,pkg,1,can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Sauteed Scallops,Roll scallops in crumbs and paprika. Saute in butter until golden on all sides. Remove. Add wine or lemon to butter. Add onion to make sauce. Serve with rice.,1,"scallops,very fine bread crumbs,paprika,butter,minced onion,salt,pepper,lemon juice or white wine",lb,1,cup,,,,,1,tbsp,,,,,2,tbsp,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
"""Louies"" Linguini with Clam Sauce",,1,"linguini,butter,minced garlic,flour,flour,chopped clams,white wine with clam juice and enough half-and-half to make 2 cups of liquid,chopped parsley,dried thyme,salt,pepper",lb,04-Jan,cup,1 to 2,cloves,2,tbsp,2,tbsp,2,cans,04-Jan,cup,04-Jan,cup,02-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,Breakfast
Sole Almondie,"Cut fillets into 4 serving pieces and pat dry. Mix flour, sald t and pepper. Dp fish into milk and then coat with 4 mixture. Heat oil and margarine in large skillet over medium heat until hot. Cook fillets, 6-8 minutes until golden brown, turn once during cooking. Remove fish, keep warm. Drain oil from skillet. Add lemon juice, wine and almonds. Boil for 30 seconds and pour over fish.",1,"sole filets,flour,salt,white pepper,milk,vegetable oil,margarine,lemon juice,almonds, sliced thin,white wine",pound,02-Jan,cup,02-Jan,tsp,04-Jan,tsp,04-Jan,cup,4,tbsp,1,tbsp,2,tbsp,1,tbsp,,splash,,,,,,,,,,,,,,,,,,,,Breakfast
Hot Crab Dip,Stir together all ingredients and top with cheddar cheese. Bake for 15-20 minutes. Serve with crackers.,2,"cream cheese,mayonaise,worchester,crab meat,garlic,cheddar cheese",pkg,3 to 4,tbsp,4,tsp,2,cans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Shrimp Saute,"In a skillet, melt butter over medium heat. Add shrimp, mushrooms, green pepper and garlic. Saute until shrimp turn pink, about 3-5 minutes. Meanwhile, cook pasta according to package directions; drain and place on a large serving platter. Top with shrimp mixture. Sprinkle with cheese, salt, pepper and parsley. Toss well; garnish with lemon. Serve immediately.",04-Jan,"butter or margarine,raw shrimp, peeled and deveined,fresh mushrooms, sliced,green pepper, chopped,cloves, minced,linguini or spaghetti,grated Romano cheese,salt,pepper,fresh parsely, chopped,lemon slices",cup,1,pound,02-Jan,pound,02-Jan,small,1,clove,3,ounces,8,cup,02-Jan,tsp,02-Jan,tsp,04-Jan,,,,,,,,,,,,,,,,,,,,,Breakfast
Sitr-Fry Beef and Broccoli,"Cut flank steak across the grain into thin slices. Mix the soy sauce, dry sherry, cornstarch, ginger and garlic ad pour over the beef, tossing to mix well. Cut the broccoli into florets about 2 inches long; slice the stalks into .5 inch pieces. Heat 1 tbsp of the oil in a large, non-stick skillet or wok until hot. Add the beef and stir-fry over high heat until seared, about 2 minutes. Remove beef to a plate. Heat remaining oil in the skillet and add the broccoli and onion. Cook, stirring constantly, for 2 minutes. Add the 2 tablespoons of water or stock, cover the pan, reduce the heat and simmer for 3 to 5 minutes, or until the broccoli is crisp-tender. Stir in the beef and bean sprouts. Toss and stir until heated through.",1 1/4,"flank steak,soy sauce,dry sherry,cornstarch,fresh ginger, grated,garlic, finely chopped,broccoli,vegetable oil,onion, cut in thin wedges,water or chicken stock,bean sprouts",pounds,3,tbsp,1,tbsp,2,tsp,1,tsp,1,clove,04-Mar,pounds,2,tbsp,1,medium,2,tbsp,1,cup,,,,,,,,,,,,,,,,,,Breakfast
Barbecued Spareribs,"Baste over ribs while browning until done. If sauce is too thin, thicken with 1 or 2 tablespoons of flour.",1,"salt,pepper,chili powder,celery salt,vinegar,worchestershire sauce,garlic, chopped,lemon, sliced thinly,onion, chopped,catsup,hot water,brown sugar",tsp,08-Jan,tsp,1,tsp,1,tsp,04-Jan,cup,04-Jan,cup,3,cloves,1,,02-Jan,cup,1,cup,1,cup,02-Jan,cup,,,,,,,,,,,,,,,,Breakfast
Sweet and Sour Pork,"Cut pork tenderloin into chunks. Combine salt, soy sauce, cornstarch and cold water. Marinade pork for 30 minutes. Drain pork and dip a few pieces at a time in a batter made from chicken coating mix, water and egg yolk. Brown pork in hot oil in wok about 3 minutes or until brown. Remove with slotted spoon. Stir in green pepper carrot and onion. Combine catsup, brown sugar, granulated sugar, cinnamon, ginger, lemon and pineapple. Cook until sauce thickens. Add pork mixture and serve over rice.",1,"pork 10derloin,salt,soy sauce,cornstarch,cold water,chicken coasting mix,ice water,egg yolk",pound,02-Jan,tsp,1 1/2,tsp,1,tbsp,1,tbsp,02-Jan,cup,02-Jan,cup,1,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Beef Scallops with Fresh Tomato Sauce,"Pound steak to 1/8 inch thick. remove skins from blanched tomatoes. Chop 3 of them and slice the other 2. Set aside. Cook steak in oil on medium high until browned. Remove and keep warm. Add chopped tomatoes to skillet, with green onions. Add sugar, salt, and basil. Stir in cornstarch. Add sliced tomatoes and heat. Gently spoon over meat.",2,"beef round steak,tomatoes, blanched,green onions, chopped,sugar,salt,basil,cornstarch",pound,5,,2,tbsp,1,tbsp,1 1/2,tsp,1,tsp,1,tbsp,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Veal Scallopini,"Cut meat into 2 inch pieces and coat in flour. Brown in oil. Add mushrooms, salt, pepper, and wine. Pour over meat in a casserole. Cook in covered casserole for 1 hour at 375 degrees or a heavy covered skillet at low heat for 45 minutes.",2,"veal steak, sliced thinly,flour,oil,sliced mushrooms,sauterne wine,onion,salt and pepper",pounds,02-Jan,cup,4,tbsp,1,can,2,cups,04-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Savory Goulash,Brown onion and meat. Add tomato sauce and water. Cook for 2 hours and serve over hot noodles.,2,"sliced onions,wesson oil,steak, cubed,paprika,salt,hot water,tomato sauce,sour cream,hot buttered noodles",,3,tbsp,1 1/2,pounds,3,tsp,1 1/2,tsp,1,cup,8,ounces,4,tbsp,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Veal Parmigan,"Combine first 8 ingredients and simmer for 1 hour over medium-low heat. Dip Veal in egg and then in crumbs, mixed with half cup of parmesan. Brown lightly in hot oil. Place in single layer in large baking dish. Pour 2/3 cup of sauce over meat and bake at 350 degrees for 30 minutes. Place a slice of mozzarella on each meat slice. SPrinkle with remaining parmesan. return to oven for about 15 minutes.",3,"oil,garlic, minced,onion, chopped,tomatoes, canned,salt,pepper,tomato sauce,thyme,veal, sliced thinly,egg, bea10,bread crumbs,grated parmesan cheese,oil,parmesan",tbsp,3,cloves,1,,32,ounces,1 1/2,tsp,02-Jan,tsp,8,ounces,0.25,tsp,1,pound,1,,1 1/2,cups,02-Jan,cup,3,tbsp,02-Jan,pound,"mozzarella, sliced thinly",04-Jan,cup,,,,,,,,,Breakfast
Teriyaki Steak,"Marinate for at least 1 hour. Grill over hot coals for about 4 minutes on each side for a 1 inch, rare steak. 5 to 6 minutes for medium-rare.",02-Jan,"soy sauce,white wine,sugar,ginger,garlic, chopped",cup,02-Jan,cup,2,tbsp,1 1/2,tsp,1,clove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Beef Stroganoff,"Pound salt and flour into the steak. Cut into think strips. Brown onion in oil. Remove brown meat. Add onion and garlic. Simmer covered for 15 minutes. Add soup and mushrooms. Simmer for 1.5 hours, uncovered. Stor in sour cream. Serve over rice or noodles.",1,"round steak,garlic,flour,salt,pepper,onion, chopped,oil,mushroom soup,mushrooms, sliced,sour cream",,1,clove,2,tbsp,3,tsp,02-Jan,tsp,02-Jan,cup,04-Jan,cup,1,can,02-Jan,pound,1,cup,,,,,,,,,,,,,,,,,,,,Breakfast
Hungry Bear Cheese Cake,,04-Jan,"wheat germ (optional),sugar,butter, melted,graham cracker crumbs,cinnamon,sour cream,vanilla,sugar,salt,cream cheese,eggs,vanilla,flour,lemon juice,sugar,salt",cup,3,tbsp,03-Jan,cup,1 3/4,cup,1,tsp,05-Jan,pint,1,tsp,03-Jan,cup,08-Jan,tsp,8,ounces,4,,2,tsp,2,tbsp,02-Jan,pint,cottage cheese,1,tbsp,03-Feb,cup,04-Jan,tsp,,,,,Breakfast
Egg Foo Young,"Combine first 6 ingredients. Fry in oil to form 3 inch omelettes. To make brown gravy, melt butter, add flour combined with sugar and salt. Add hot water and soy sauce. Cook over low heat until thick. Serve gravy over omelettes.",02-Jan,"green onions, chopped,can of shrimp,water chestnuts,bean sprouts,salt and pepper,bea10 eggs,butter melted,flour,sugar,salt,water,soy sauce",cup,1,small,1,can ,1,can ,,,6,,3,tbsp,3,tbsp,2,tbsp,02-Jan,tsp,1,cup,2,tbsp,,,,,,,,,,,,,,,,Breakfast
Egg Roll Filling,,16,"shrimp,oil,diced celery,green onions,bean sprouts,cabbage, finely shredded,water chestnuts, finely chopped,bamboo shoots, finely chopped,soy sauce,sherry,salt,water,egg roll wrappers",ounces,3,tbsp,2,cups,02-Jan,cup,02-Jan,pound,3,cups,02-Jan,cup,02-Jan,cup,2,tbsp,2,tbsp,2,tsp,3,tsp,16,,1,,"egg, slightly bea10",,,,,,,,,,,Breakfast
Egg Roll Wrappers,"Beat egg slightly. Add flour, cornstarch, salt and water. Blend until smooth. Heat buttered 7 inch skillet or crepe pad. Add 2 tablespoons pf batter to cover bottom of pan. Brown lightly on bottom side only. Place filling on uncooked side. Roll, seal and fry as directed. 5-7 minutes in deep fat at 375 degrees.",2,"eggs,flour,cornstarch,salt,water",,1,cup,2,tbsp,02-Jan,tsp,2,cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Pineapple Spareribs,"Cook ribs at 375 degrees until brown. Combine sugar, vinegar, water, and cornstarch in saucepan. Bring to a boil. Pour over browned ribs. Cook for 1 hour or until ribs are 10der. Add pineapple chunks and green pepper slices. Cover and cook for an additional 20 to 30 minutes.",04-Mar,"sugar,vinegar,water,pineapple chunks, injuice,cornstarch,green pepper (optional),ribs",cup,02-Jan,cup,04-Mar,cup,04-Mar,cup,2,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Pork Fu Man Chow,"Saute onion and celery in oil. Add pork, bean sprouts and all other ingredients except peas and noodles. Simmer for 30 minutes. Add peas and simmer for 30 more minutes. Serve over noodles.",2,"oil,onion, chopped quite large,celery, cut into large chunks,cooked pork, cubed,bean sprouts,mushroom soup or leftover pork gravy,water chestnuts, sliced,soy sauce,salt and pepper,pea pods, frozen,chinese noodles",tbsp,1,cup,1,cup,3 to 4,cups,1,can,1,can,1,can,4,tbsp,,,1,pkg,1,large can,,,,,,,,,,,,,,,,,,Breakfast
Shrimp Pineapple Fried Rice,"Fry cooled rice in oil in a skillet. Add shrimp, onions and pineapple. Add soy sauce to taste.",,"precooked rice, cook overnight,shrimp,green onions, diced,pineapple,soy sauce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Sweet and Sour Pork,"Cut pork into chunks. Marinade for 30 minutes in dressing made by combining: salt, soy sauce, cornstarch, and water. Drain pork and dip in a batter of coating mix, ice water, and egg. Brown in a few tablespoons of oil in a wok about 3 minutes or until brown and crisp. Remove with a slotted spoon. Add green pepper, onion, and carrot. Stir fry about 5 minutes. Add sweet and sour sauce made by combining: ketchup, brown sugar, white sugar, cinnamon, ginger, and juice of the large lemon. Stir until sauce thickens. Add pineapple chunks and the pork. Ser with hot steamed rice.",1,"pork 10derloin, cut into chunks,salt,soy sauce,cornstarch,cold water,chicken coating mix,ice water,egg, bea10,oil,green pepper, sliced,onion, chopped,carrot, diagonally sliced,ketchup,granulated sugar,cinnamon,ginger,lemon,pinapple chunks",pound,02-Jan,tsp,1 1/2,tsp,1,tbsp,1,tbsp,02-Jan,cup,02-Jan,cup,1,,,,1,,1,medium,1,,1 1/2,cups,03-Feb,cup,brown sugar,03-Feb,cup,02-Jan,tsp,02-Jan,tsp,1,large,1,cup,Breakfast
Albert's Chicken,Place chicken in casserole. Heat together remaining ingredients to make sauce. Pour sauce over chicken. Cook in electric skillet or 350 degree oven for about 1 hour.,2,"chickens, cut in pieces,dry sherry,butter,mushrooms, sliced,lemon juice,onion, minced,parsley,salt and pepper",,1,cup,02-Jan,cup,1,cup,2,tbsp,1,large,2,tbsp,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Avocado Chicken Melt,"Using a meat mallet and a hard surface, pound the chicken to 1/4 inch thickness. Mix together the cornstarch, cumin and garlic salt. Add the chicken 1 piece at a time, dredging to coat. Mix the egg and water in a small bowl. Put the cornmeal in another small bowl. Dip the chicken first in the egg wash and then in the cornmeal, turning to coat. Heat the oil in a large frying pan until hot. Add the chicken and cook for 2 minutes on each side. Remove the chicken to a shallow baking pan. Place avocado slices over the chicken and sprinkle cheese. Bake in a preheated 350 degree oven about 15 minutes, or until a fork can be inserted with ease and the cheese is melted. Top the cheese layer with the sour cream. Sprinkle with green onion and red pepper. Garnish with cherry tomatoes and parsley.",4,"chicken breast halves, b1d and skinned,cornstarch,ground cumin,garlic salt,egg, slightly bea10,water,cornmeal,oil,avocado, peeled and sliced,monteray jack cheese, shredded,sour cream,green onion tops, sliced,red pepper, chopped,parsley sprigs",,2,tbsp,1,tsp,1,tsp,1,,1,tbsp,03-Jan,cup,3,tbsp,1,,1 1/2,cups,02-Jan,cup,04-Jan,cup,04-Jan,cup,,,cherry tomatoes,,,,,,,,,,,Breakfast
Batter Fried Chicken,"Make better. Dip chicken, drain 5 to 10 minutes on rack. Fill dutch oven 1/3 full of oil, heat to 375 degrees. Cook chicken about 12 minutes. Drain on paper towels.",1,"egg, slightly bea10,milk,vegetable oil,flour, sifted,baking powder,seas1d salt,pepper,chicken, cut up,oil, for cooking",,03-Feb,cup,1,tbsp,1,cup,1 1/2,tsp,2,tsp,04-Jan,tsp,1,small,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Catalina Chicken Stir Fry,"Heat dressing, soy sauce and garlic powder in large skillet. Stir in chicken and completely cook, about 8 minutes. Add vegetables and cook, stirring until heated. Serve over cooked rice.",04-Mar,"catalina french dressing,soy sauce,garlic powder,b1less, skinless chicken breast, cubed,any frozen mixed vegetable, thawed",cup,04-Jan,cup,02-Jan,tsp,1,pound,16,ounces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Chicken Breasts Florentine,"Cook spinach as directed on package; squeeze to drain. Stir in butter; set aside. Place 1 chicken breast, half b1d side up, between 2 pieces of plastic wrap or waxed paper. Working from center, gently pound chicken with rolling pin or flat side of meat mallet until about 1/4 inch thick. Repeat with remaining chicken breast. In small bowl, combine bread crumbs and basil. Coat chicken breasts with crumb mixture. Heat oil over medium-high heat in large skillet. Cook chicken breasts 5 to 7 minutes on each side or until lightly browned and no longer pink. Reduce heat. Spoon cooked spinach evenly over each chicken breast half; sprinkle with cheese. Cover; cook until cheese is melted.",10,"leaf spinach, cut,butter, melted,skinless b1less chicken breasts, cut in 1/2,dry bread crumbs,basil leaves,oil,shredded mozzarella cheese",ounces,3,tbsp,2,whole,03-Jan,cup,04-Jan,tsp,2,tbsp,2,ounces,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
